title,date,duration_s,enclosure_url,enclosure_bytes,guid
#108 – Sergey Levine: Robotics and Machine Learning,2020-07-14,5879,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_sergey_levine.mp3,71626726,https://lexfridman.com/?p=4309
"#109 – Brian Kernighan: UNIX, C, AWK, AMPL, and Go Programming",2020-07-18,6217,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_brian_kernighan.mp3,76329400,https://lexfridman.com/?p=4313
#110 – Jitendra Malik: Computer Vision,2020-07-21,6124,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_jitendra_malik.mp3,74552525,https://lexfridman.com/?p=4316
#111 – Richard Karp: Algorithms and Computational Complexity,2020-07-26,7680,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_richard_karp.mp3,94546645,https://lexfridman.com/?p=4320
"#112 – Ian Hutchinson: Nuclear Fusion, Plasma Physics, and Religion",2020-07-29,7303,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_ian_hutchinson.mp3,88830750,https://lexfridman.com/?p=4324
#113 – Manolis Kellis: Human Genome and Evolutionary Dynamics,2020-07-31,8991,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_manolis_kellis.mp3,109461423,https://lexfridman.com/?p=4328
"#114 – Russ Tedrake: Underactuated Robotics, Control, Dynamics and Touch",2020-08-09,10154,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_russ_tedrake.mp3,123637778,https://lexfridman.com/?p=4332
#115 – Dileep George: Brain-Inspired AI,2020-08-14,7833,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_dileep_george.mp3,96131873,https://lexfridman.com/?p=4335
#116 – Sara Seager: Search for Planets and Life Outside Our Solar System,2020-08-16,6122,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_sara_seager.mp3,75181377,https://lexfridman.com/?p=4338
#117 – Sheldon Solomon: Death and Meaning,2020-08-20,10611,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_sheldon_solomon.mp3,128869488,https://lexfridman.com/?p=4346
"#118 – Grant Sanderson: Math, Manim, Neural Networks & Teaching with 3Blue1Brown",2020-08-23,7733,https://media.blubrry.com/takeituneasy/content.blubrry.com/takeituneasy/lex_ai_grant_sanderson_2.mp3,94610508,https://lexfridman.com/?p=4351
